L 1080.0, -331.0, -22.0, 1077.0, -329.0, -22.0, 0, 0, 0
L 1113.0, -331.0, -22.0, 1080.0, -331.0, -22.0, 0, 0, 0
L 1126.0, -291.0, -22.0, 1113.0, -331.0, -22.0, 0, 0, 0
L 1185.0, -294.0, 3.0, 1126.0, -291.0, -22.0, 0, 0, 0
L 1409.0, -290.0, 3.0, 1185.0, -294.0, 3.0, 0, 0, 0
L 1413.0, -897.0, 15.0, 1409.0, -290.0, 3.0, 0, 0, 0
L 1428.0, -903.0, 17.0, 1413.0, -897.0, 15.0, 0, 0, 0
L 1426.0, -926.0, 15.0, 1428.0, -903.0, 17.0, 0, 0, 0
L 1420.0, -929.0, 13.0, 1426.0, -926.0, 15.0, 0, 0, 0
L 1401.0, -930.0, 13.0, 1420.0, -929.0, 13.0, 0, 0, 0
L 1367.0, -960.0, 13.0, 1401.0, -930.0, 13.0, 0, 0, 0
L 1367.0, -1022.0, 13.0, 1367.0, -960.0, 13.0, 0, 0, 0
L 1356.0, -1042.0, 13.0, 1367.0, -1022.0, 13.0, 0, 0, 0
L 1355.0, -1064.0, 13.0, 1356.0, -1042.0, 13.0, 0, 0, 0
L 1348.0, -1069.0, 19.0, 1355.0, -1064.0, 13.0, 0, 0, 0
L 1167.0, -1063.0, 21.0, 1348.0, -1069.0, 19.0, 0, 0, 0
L 1141.0, -1064.0, 19.0, 1167.0, -1063.0, 21.0, 0, 0, 0
L 1138.0, -1060.0, 20.0, 1141.0, -1064.0, 19.0, 0, 0, 0
L 1110.0, -1012.0, 19.0, 1138.0, -1060.0, 20.0, 0, 0, 0
L 1097.0, -998.0, 19.0, 1110.0, -1012.0, 19.0, 0, 0, 0
L 1048.0, -959.0, 19.0, 1097.0, -998.0, 19.0, 0, 0, 0
L 1013.0, -952.0, 19.0, 1048.0, -959.0, 19.0, 0, 0, 0
L 1010.0, -308.0, -21.0, 1013.0, -952.0, 19.0, 0, 0, 0
L 1074.0, -304.0, -22.0, 1010.0, -308.0, -21.0, 0, 0, 0
L 1077.0, -329.0, -22.0, 1074.0, -304.0, -22.0, 0, 0, 0
L 22.0, -237.0, 21.0, -79.0, -237.0, 21.0, 0, 0, 0
L 24.0, -207.0, 3.0, 22.0, -237.0, 21.0, 0, 0, 0
L 11.0, -212.0, 6.0, 24.0, -207.0, 3.0, 0, 0, 0
L -30.0, -235.0, 3.0, 11.0, -212.0, 6.0, 0, 0, 0
L -66.0, -210.0, 3.0, -30.0, -235.0, 3.0, 0, 0, 0
L -81.0, -208.0, 3.0, -66.0, -210.0, 3.0, 0, 0, 0
L -79.0, -237.0, 21.0, -81.0, -208.0, 3.0, 0, 0, 0
L -154.0, 1429.0, 22.0, 46.0, 1430.0, 22.0, 0, 0, 0
L -92.0, 1371.0, 22.0, -209.0, 1373.0, 22.0, 0, 0, 0
