L -1326.0, 41.0, 4.0, -1336.0, 41.0, 3.0, 0, 0, 0
L -1336.0, 41.0, 3.0, -1404.0, -10.0, 19.0, 0, 0, 0
L -1404.0, -10.0, 19.0, -1404.0, -70.0, 20.0, 0, 0, 0
L -1404.0, -70.0, 20.0, -1349.0, -125.0, 18.0, 0, 0, 0
L -1349.0, -125.0, 18.0, -1344.0, -123.0, 32.0, 0, 0, 0
L -1344.0, -123.0, 32.0, -1288.0, -124.0, 29.0, 0, 0, 0
L -1288.0, -124.0, 29.0, -1230.0, -69.0, 19.0, 0, 0, 0
L -1230.0, -69.0, 19.0, -1230.0, -10.0, 19.0, 0, 0, 0
L -1230.0, -10.0, 19.0, -1296.0, 41.0, 21.0, 0, 0, 0
L -1296.0, 41.0, 21.0, -1308.0, 41.0, 4.0, 0, 0, 0
L -1349.0, -125.0, 18.0, -1350.0, -117.0, 17.0, 150, 150, 150
L -1350.0, -117.0, 17.0, -1339.0, -106.0, 24.0, 150, 150, 150
L -1339.0, -106.0, 24.0, -1324.0, -115.0, 32.0, 150, 150, 150
L -1324.0, -115.0, 32.0, -1324.0, -124.0, 29.0, 150, 150, 150
L -1335.0, -78.0, 17.0, -1300.0, -66.0, 7.0, 150, 150, 150
L -1300.0, -66.0, 7.0, -1301.0, -64.0, 7.0, 150, 150, 150
L -1301.0, -64.0, 7.0, -1290.0, -59.0, 7.0, 150, 150, 150
L -1290.0, -59.0, 7.0, -1289.0, -63.0, 7.0, 150, 150, 150
L -1289.0, -63.0, 7.0, -1285.0, -61.0, 7.0, 150, 150, 150
L -1285.0, -61.0, 7.0, -1275.0, -72.0, 10.0, 150, 150, 150
L -1275.0, -72.0, 10.0, -1253.0, -96.0, 13.0, 150, 150, 150
L -1326.0, 41.0, 4.0, -1325.0, 54.0, 3.0, 0, 0, 0
L -1325.0, 54.0, 3.0, -1329.0, 54.0, 3.0, 0, 0, 0
L -1329.0, 54.0, 3.0, -1329.0, 101.0, 3.0, 0, 0, 0
L -1329.0, 101.0, 3.0, -1322.0, 101.0, 3.0, 0, 0, 0
