L -2736.0, 86.0, 95.0, -2733.0, 80.0, 94.0, 0, 0, 0
L -2733.0, 80.0, 94.0, -2731.0, 75.0, 94.0, 0, 0, 0
L -2731.0, 75.0, 94.0, -2701.0, 42.0, 90.0, 0, 0, 0
L -2701.0, 42.0, 90.0, -2681.0, 50.0, 97.0, 0, 0, 0
L -2681.0, 50.0, 97.0, -2666.0, 46.0, 96.0, 0, 0, 0
L -2666.0, 46.0, 96.0, -2656.0, 46.0, 100.0, 0, 0, 0
L -2656.0, 46.0, 100.0, -2647.0, 47.0, 100.0, 0, 0, 0
L -2647.0, 47.0, 100.0, -2587.0, 46.0, 99.0, 0, 0, 0
L -2587.0, 46.0, 99.0, -2578.0, 45.0, 98.0, 0, 0, 0
L -2578.0, 45.0, 98.0, -2563.0, 45.0, 95.0, 0, 0, 0
L -2563.0, 45.0, 95.0, -2555.0, 48.0, 95.0, 0, 0, 0
L -2555.0, 48.0, 95.0, -2521.0, 46.0, 100.0, 0, 0, 0
L -2521.0, 46.0, 100.0, -2492.0, 49.0, 95.0, 0, 0, 0
L -2492.0, 49.0, 95.0, -2467.0, 44.0, 97.0, 0, 0, 0
L -2467.0, 44.0, 97.0, -2420.0, 46.0, 95.0, 0, 0, 0
L -2420.0, 46.0, 95.0, -2403.0, 45.0, 97.0, 0, 0, 0
L -2403.0, 45.0, 97.0, -2392.0, 48.0, 101.0, 0, 0, 0
L -2392.0, 48.0, 101.0, -2380.0, 48.0, 96.0, 0, 0, 0
L -2380.0, 48.0, 96.0, -2356.0, 46.0, 94.0, 0, 0, 0
L -2356.0, 46.0, 94.0, -2327.0, 55.0, 86.0, 0, 0, 0
L -2327.0, 55.0, 86.0, -2299.0, 93.0, 97.0, 0, 0, 0
L -2299.0, 93.0, 97.0, -2289.0, 99.0, 96.0, 0, 0, 0
L -2289.0, 99.0, 96.0, -2277.0, 108.0, 102.0, 0, 0, 0
L -2277.0, 108.0, 102.0, -2256.0, 130.0, 96.0, 0, 0, 0
L -2256.0, 130.0, 96.0, -2249.0, 137.0, 96.0, 0, 0, 0
L -2249.0, 137.0, 96.0, -2239.0, 146.0, 97.0, 0, 0, 0
L -2239.0, 146.0, 97.0, -2231.0, 153.0, 99.0, 0, 0, 0
L -2231.0, 153.0, 99.0, -2215.0, 166.0, 97.0, 0, 0, 0
L -2215.0, 166.0, 97.0, -2200.0, 181.0, 95.0, 0, 0, 0
L -2200.0, 181.0, 95.0, -2194.0, 187.0, 98.0, 0, 0, 0
L -2194.0, 187.0, 98.0, -2185.0, 193.0, 98.0, 0, 0, 0
L -2185.0, 193.0, 98.0, -2169.0, 204.0, 96.0, 0, 0, 0
L -2169.0, 204.0, 96.0, -2157.0, 210.0, 99.0, 0, 0, 0
L -2157.0, 210.0, 99.0, -2149.0, 223.0, 98.0, 0, 0, 0
L -2149.0, 223.0, 98.0, -2146.0, 227.0, 98.0, 0, 0, 0
L -2146.0, 227.0, 98.0, -2152.0, 233.0, 98.0, 0, 0, 0
L -2152.0, 233.0, 98.0, -2158.0, 241.0, 98.0, 0, 0, 0
L -2158.0, 241.0, 98.0, -2151.0, 248.0, 98.0, 0, 0, 0
L -2151.0, 248.0, 98.0, -2143.0, 243.0, 100.0, 0, 0, 0
L -2143.0, 243.0, 100.0, -2139.0, 244.0, 100.0, 0, 0, 0
L -2139.0, 244.0, 100.0, -2138.0, 243.0, 100.0, 0, 0, 0
L -2138.0, 243.0, 100.0, -2128.0, 246.0, 101.0, 0, 0, 0
L -2128.0, 246.0, 101.0, -2119.0, 241.0, 99.0, 0, 0, 0
L -2119.0, 241.0, 99.0, -2117.0, 239.0, 98.0, 0, 0, 0
L -2117.0, 239.0, 98.0, -2115.0, 231.0, 100.0, 0, 0, 0
L -2115.0, 231.0, 100.0, -2121.0, 220.0, 98.0, 0, 0, 0
L -2121.0, 220.0, 98.0, -2114.0, 211.0, 99.0, 0, 0, 0
L -2114.0, 211.0, 99.0, -2120.0, 204.0, 99.0, 0, 0, 0
L -2120.0, 204.0, 99.0, -2129.0, 209.0, 98.0, 0, 0, 0
L -2129.0, 209.0, 98.0, -2133.0, 209.0, 98.0, 0, 0, 0
L -2133.0, 209.0, 98.0, -2144.0, 208.0, 98.0, 0, 0, 0
L -2144.0, 208.0, 98.0, -2151.0, 203.0, 103.0, 0, 0, 0
L -2151.0, 203.0, 103.0, -2159.0, 197.0, 98.0, 0, 0, 0
L -2159.0, 197.0, 98.0, -2173.0, 173.0, 96.0, 0, 0, 0
L -2173.0, 173.0, 96.0, -2176.0, 161.0, 97.0, 0, 0, 0
L -2176.0, 161.0, 97.0, -2181.0, 152.0, 96.0, 0, 0, 0
L -2181.0, 152.0, 96.0, -2188.0, 145.0, 95.0, 0, 0, 0
L -2188.0, 145.0, 95.0, -2192.0, 142.0, 95.0, 0, 0, 0
L -2192.0, 142.0, 95.0, -2212.0, 132.0, 95.0, 0, 0, 0
L -2212.0, 132.0, 95.0, -2220.0, 119.0, 95.0, 0, 0, 0
L -2220.0, 119.0, 95.0, -2221.0, 118.0, 95.0, 0, 0, 0
